"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000034931",642.317575678881,-0.160025046696973,0.20221682545967,-0.791353767586904,0.428737580683572,0.555448172092774,"ENSMUSG00000034931","Dhx8","DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:MGI Symbol;Acc:MGI:1306823]"
"ENSMUSG00000034932",38.1645277829889,-1.26203513836634,0.380136271829201,-3.31995453181428,0.000900321102366713,0.00377945556145037,"ENSMUSG00000034932","Mrpl54","mitochondrial ribosomal protein L54 [Source:MGI Symbol;Acc:MGI:1913297]"
"ENSMUSG00000034936",29.5891645425482,1.76220348185626,0.512770767850636,3.4366301519933,0.000588999288337651,0.00264164332291773,"ENSMUSG00000034936","Arl4d","ADP-ribosylation factor-like 4D [Source:MGI Symbol;Acc:MGI:1933155]"
"ENSMUSG00000034940",772.084839563678,-0.881681505047668,0.191558920720183,-4.60266481839064,4.17119231968902e-06,3.56600169597595e-05,"ENSMUSG00000034940","Synrg","synergin, gamma [Source:MGI Symbol;Acc:MGI:1354742]"
"ENSMUSG00000034947",12.0736479353588,-0.275692655594098,0.654698376409489,-0.421098731153203,0.673682988072927,0.766732185174166,"ENSMUSG00000034947","Tmem106a","transmembrane protein 106A [Source:MGI Symbol;Acc:MGI:1922056]"
"ENSMUSG00000034949",123.993136889983,0.857385568884817,0.262897550775489,3.26129158052527,0.00110905930715135,0.00450447358492061,"ENSMUSG00000034949","Zfr2","zinc finger RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:2143792]"
"ENSMUSG00000034951",131.27673183894,0.033305305475217,0.345222878740066,0.0964747921596879,0.923143493467527,0.949295263393057,"ENSMUSG00000034951","Cog7","component of oligomeric golgi complex 7 [Source:MGI Symbol;Acc:MGI:2685013]"
"ENSMUSG00000034957",5.83609809011192,0.346730990556291,0.909198797508134,0.381358830991183,0.702937005046094,0.789205489621714,"ENSMUSG00000034957","Cebpa","CCAAT/enhancer binding protein (C/EBP), alpha [Source:MGI Symbol;Acc:MGI:99480]"
"ENSMUSG00000034958",759.252394451144,-0.479186069087443,0.18297752290335,-2.61882476866053,0.00882332585068582,0.0254105794970112,"ENSMUSG00000034958","Atcay","ataxia, cerebellar, Cayman type [Source:MGI Symbol;Acc:MGI:2448730]"
"ENSMUSG00000034959",9.66948810560904,-0.297158844981049,0.678185856824871,-0.438167269326857,0.661265033340372,0.757133684121522,"ENSMUSG00000034959","Rubcnl","RUN and cysteine rich domain containing beclin 1 interacting protein like [Source:MGI Symbol;Acc:MGI:2685590]"
